bar_index,equity,peak,drawdown_pct,bar_return,rolling_sharpe_60
241,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
242,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
243,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
244,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
245,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
246,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
247,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
248,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
249,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
250,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
251,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
252,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
253,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
254,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
255,10087.921960389702,10215.006032079598,1.2440919886958148,0.0,-10.291948801412241
256,10083.331130402947,10215.006032079598,1.2890340080381226,-0.0004550818300122713,-10.920580021376434
257,10074.620788156717,10215.006032079598,1.3743040726751414,-0.0008638357833917084,-11.98992644215467
258,10041.141164686996,10215.006032079598,1.702053497047284,-0.003323164630581204,-13.387162409668772
259,10037.739262308514,10215.006032079598,1.7353564864708706,-0.00033879639004041786,-13.778176726371788
260,10034.949430384127,10215.006032079598,1.7626676002932755,-0.00027793428893521606,-14.104208033663923
261,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-13.760066548254619
262,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-12.927973096675702
263,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-11.91371240524561
264,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-10.151280936614146
265,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-11.479089171919174
266,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-12.451610184479629
267,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-11.514569100241227
268,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-9.821578624300512
269,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-10.562204233009176
270,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-10.152668362424452
271,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-11.077666496279607
272,10034.949430384127,10215.006032079598,1.7626676002932755,0.0,-10.877567888888326
